"customer_id","name","customer_category"
133,"Rohan","Gold"
134,"Ayaan","Gold"
135,"Saanvi","Gold"
136,"Sara","Gold"
137,"Vivaan","Gold"
138,"Dhruv","Gold"
139,"Aniket","Gold"
140,"Sara","Gold"
141,"Deepak","Gold"
142,"Reyansh","Gold"
143,"Kunal","Bronze"
144,"Pari","Silver"
145,"Simran","Gold"
146,"Bhavya","Gold"
147,"Varun","Gold"
148,"Simran","Gold"
149,"Simran","Gold"
150,"Arnav","Gold"
151,"Sara","Gold"
152,"Komal","Gold"
153,"Arjun","Gold"
154,"Aniket","Gold"
155,"Kavya","Gold"
156,"Kavya","Gold"
157,"Ishita","Gold"
158,"Nikhil","Gold"
159,"Aanya","Gold"
160,"Anjali","Gold"
161,"Kabir","Silver"
162,"Neha","Gold"
163,"Swara","Gold"
164,"Payal","Gold"
165,"Karthik","Silver"
166,"Aditya","Gold"
167,"Anika","Gold"
168,"Riya","Gold"
169,"Riya","Gold"
170,"Ira","Gold"
171,"Varun","Gold"
172,"Sara","Gold"
173,"Raj","Silver"
174,"Rahul","Gold"
175,"Sai","Silver"
176,"Manav","Bronze"
177,"Simran","Gold"
178,"Raj","Gold"
179,"Manav","Gold"
180,"Ishita","Gold"
181,"Vihaan","Gold"
182,"Amit","Gold"
183,"Sneha","Gold"
184,"Saanvi","Gold"
185,"Aanya","Gold"
186,"Atharv","Silver"
187,"Tanya","Gold"
188,"Varun","Gold"
189,"Shreya","Gold"
190,"Kavya","Gold"
191,"Anjali","Gold"
192,"Komal","Gold"
193,"Aditi","Gold"
194,"Riya","Gold"
195,"Anika","Gold"
196,"Lavanya","Gold"
197,"Komal","Gold"
198,"Sneha","Gold"
199,"Aditya","Gold"
200,"Sneha","Gold"
201,"Nandini","Gold"
202,"Aditya","Gold"
203,"Tanya","Gold"
204,"Neha","Gold"
205,"Kavya","Gold"
206,"Tanya","Gold"
207,"Ira","Gold"
208,"Krishna","Gold"
209,"Muhammad","Gold"
210,"Radhika","Gold"
211,"Ananya","Gold"
212,"Ishaan","Gold"
213,"Aniket","Gold"
214,"Diya","Gold"
215,"Tanya","Gold"
216,"Ananya","Gold"
217,"Neha","Gold"
218,"Anika","Gold"
219,"Ananya","Gold"
220,"Saanvi","Gold"
221,"Arjun","Gold"
222,"Saanvi","Gold"
223,"Shreya","Gold"
224,"Raj","Gold"
225,"Payal","Gold"
226,"Myra","Gold"
227,"Yash","Gold"
228,"Arnav","Gold"
229,"Reyansh","Gold"
230,"Aarav","Silver"
231,"Myra","Gold"
232,"Tanya","Gold"
233,"Saanvi","Gold"
234,"Atharv","Gold"
235,"Harsh","Gold"
237,"Shreya","Gold"
238,"Ananya","Gold"
239,"Tanya","Gold"
240,"Pooja","Gold"
241,"Deepak","Gold"
242,"Aanya","Gold"
243,"Raj","Gold"
244,"Raj","Gold"
245,"Payal","Gold"
246,"Nandini","Gold"
247,"Meera","Gold"
248,"Swara","Gold"
249,"Kavya","Gold"
250,"Bhavya","Gold"
251,"Saanvi","Gold"
252,"Ananya","Gold"
253,"Siddharth","Gold"
254,"Diya","Gold"
256,"Simran","Gold"
257,"Sneha","Gold"
258,"Komal","Gold"
259,"Harsh","Gold"
260,"Ayaan","Gold"
261,"Saanvi","Gold"
262,"Ananya","Gold"
263,"Priya","Gold"
264,"Neha","Gold"
265,"Shaurya","Gold"
266,"Nikhil","Gold"
267,"Riya","Gold"
269,"Anjali","Gold"
270,"Meera","Gold"
271,"Pooja","Gold"
272,"Manav","Silver"
273,"Diya","Gold"
274,"Ishita","Gold"
275,"Arjun","Gold"
276,"Anjali","Gold"
277,"Rohan","Gold"
278,"Atharv","Gold"
279,"Lavanya","Gold"
280,"Nandini","Gold"
281,"Riya","Gold"
282,"Yash","Gold"
283,"Sara","Gold"
284,"Raj","Gold"
285,"Aniket","Gold"
286,"Krishna","Gold"
287,"Meera","Gold"
288,"Rohan","Gold"
289,"Reyansh","Gold"
290,"Shreya","Gold"
291,"Sai","Gold"
292,"Pooja","Gold"
293,"Deepak","Gold"
294,"Aditya","Gold"
295,"Nandini","Gold"
296,"Pooja","Gold"
297,"Anjali","Gold"
298,"Shaurya","Gold"
299,"Tanya","Gold"
300,"Ira","Gold"
